post_type,title,menu_number,category,excerpt,price_chf,badge_vegetarisch,badge_vegan,badge_scharf,badge_haus_hit,highlight_home,notes,source
speisen,Bò Xào Mè,16,Hauptgang,Suisse Garantie Rindfleisch mit Gemüse-Mix im Wok gebraten an hausgemachter Tamarinden-Sauce. Serviert mit Jasminreis.,30.9,,,,,,,neu.pdf
speisen,Bún Xào,17,Hauptgang,"Im Wok gebratene dünne Reisnudeln mit saisonalem Gemüse, frischen vietnamesischen Kräutern und aromatischer Sauce. Proteinwahl möglich.",27.9,,1,,,,Proteinwahl: Nur Gemüse CHF 0.00; Poulet/Rind/Ente/Crevetten CHF 2.90; Tofu CHF 1.90,neu.pdf
speisen,Pad Thai (Banh Pho Xao),18,Hauptgang,"Grosse Portion Pad Thai nach vietnamesischer Art. Im Wok gebratene Reisnudeln mit Tofu, Ei, Sojasprossen, hausgemachter Tamarinden-Pad-Thai-Sauce und Erdnüssen.",30.9,1,,,,,,neu.pdf
speisen,Xao la Que (Basilikum-Gericht),19,Hauptgang,Vietnamesisches Basilikum-Gericht im Wok gebraten mit Fleisch nach Wahl an frischem vietnamesischen Kräutermix und Jasminreis.,28.9,,1,,,,Proteinwahl: Nur Gemüse CHF 0.00; Poulet/Rind/Ente/Crevetten CHF 2.90; Tofu CHF 1.90,neu.pdf
speisen,Vietdura's Com Chien,20,Hauptgang,"Vietnamesischer gebratener Reis mit frischem Gemüse, Freiland-Eiern aus der Schweiz und vietnamesischen Kräutern. Dazu ein Fleisch nach Wahl.",25.9,,1,,,,,neu.pdf
speisen,Suon Bo Ham,21,Hauptgang,"Haus-Hit: 300 g Suisse Garantie Rinds-Short-Ribs, sechs Stunden in hausgemachter Rotwein-Kräutersauce niedergegart. Serviert mit Gemüse und Jasminreis.",35.9,,,,1,1,,neu.pdf
speisen,SaTe Thit,22,Hauptgang,"Proteinwahl zwischen CH-Fleisch, CH-Tofu oder Gemüsevariation. Serviert mit hausgemachter aromatisch-nussiger Satay-Sauce, knackigem Gemüse und Jasminreis.",28.9,,,,,,,neu.pdf
speisen,Ca Ri Gelb,23,Hauptgang,"Leichtes vietnamesisches gelbes Curry mit frischem Gemüse, Kokosnussmilch, Karotten, Zucchetti, Zitronengras und Basilikum. Dazu ein Fleisch nach Wahl.",28.9,,,,,,,neu.pdf
speisen,Ca Ri Rot,24,Hauptgang,"Rotes Curry mit frischem Gemüse, Kokosnussmilch, Zitronengras, Bambus, grünen Bohnen, Brokkoli, Zwiebeln und Basilikum. Dazu ein Fleisch nach Wahl.",28.9,,,,,,,neu.pdf
speisen,Chua ngot (Vietnam Süss-Sauer),25,Hauptgang,"Zubereitet mit Ananas, Frühlingszwiebeln, Zucchetti, Broccoli und saisonalem Gemüse. Dazu ein Fleisch nach Wahl. Vietnamesisches Süss-Sauer-Gericht.",27.9,,,,,,,neu.pdf
speisen,Xao xa ot (Zitronengras-Gericht),26,Hauptgang,"Fleisch nach Wahl gebraten mit frischem Zitronengras, vietnamesischem Kräuter- und Gemüsemix. Serviert mit Jasminreis. Sehr geschmacksvoll und erfrischend.",28.9,,1,1,,,,neu.pdf
speisen,Kho Gung (Ingwer-Gericht),27,Hauptgang,"Gesunde Spezialität mit frischem Ingwer, zartem Schweizer Fleisch oder Tofu nach Wahl, buntem Gemüsemix, Frühlingszwiebeln und vietnamesischen Kräutern. Serviert mit Jasminreis.",28.9,,1,,,,,neu.pdf
speisen,Gemischter Gemüse Wok,28,Hauptgang,"Frisches, knackiges saisonales und asiatisches Gemüse im Wok mit Knoblauch und hausgemachter Sauce. Dazu ein Protein nach Wahl und Jasminreis.",26.9,,1,,,,,neu.pdf
speisen,Poulet Nuggets,29,Hauptgang,"Handgefertigte Nuggets aus 100% Swiss Gourmet Pouletfleisch mit knusprigem Teigmantel, serviert mit hausgemachter Sauce nach Wahl und Jasminreis.",30.9,,,,,,"Hausgemachte Saucen: Süss-Sauer, Orange oder Teriyaki",neu.pdf
speisen,Tofu Nuggets,30,Hauptgang,"Handgefertigte Nuggets mit Schweizer Tofu, serviert mit hausgemachter Sauce nach Wahl und Jasminreis.",28.9,1,,,,,"Hausgemachte Saucen: Süss-Sauer, Orange oder Teriyaki",neu.pdf
speisen,Udon Nudeln,31,Hauptgang,"Udon Nudeln mit frischem Gemüsemix im Wok gebraten, dazu ein Fleisch nach Wahl.",27.9,,1,,,,,neu.pdf
speisen,Bun Cha Gio Ga (Poulet),32,Hauptgang,"Südvietnamesische Reisnudel-Bowl mit Swiss Gourmet Poulet, hausgemachten Poulet-Frühlingsrollen, frischen Kräutern, delikater Limetten-Sauce, Erdnüssen und Zwiebeln.",31.9,,,,,1,Bowl,neu.pdf
speisen,Bun Cha Gio Bo (Rind),33,Hauptgang,"Südvietnamesische Reisnudel-Bowl mit Suisse Garantie Rind, hausgemachten Poulet-Frühlingsrollen, frischen Kräutern, delikater Limetten-Sauce, Erdnüssen und Zwiebeln.",31.9,,,,,1,Bowl,neu.pdf
speisen,Bun Cha Gio Vegi,34,Hauptgang,"Südvietnamesische Reisnudel-Bowl mit Tofu und Vegi-Frühlingsrollen, Salat mit frischen Kräutern, hausgemachter Limetten-Sauce, vietnamesischem Kräutermix, Erdnüssen und Zwiebeln.",29.9,1,,,,1,Bowl,neu.pdf
speisen,Vit Chien (Ente Knusprig),35,Hauptgang,"Knusprig frittierte Ente aus der Fusionsküche. Wahlweise mit hausgemachter Orangen-, Süsssauer-, Teriyaki- oder Vietdura-Haussauce. Dazu Jasminreis.",32.9,,,,,,,neu.pdf
speisen,Soup Bun Bo Hue,36,Suppen-Welt,"Traditionelle vietnamesische Suppe mit hausgemachter Rindsknochenbrühe, Reisnudeln, Zitronengras, Bananenblüten, Wasserspinatsprossen, Sojasprossen und dünn geschnittenem Rindfleisch.",34.9,,,1,,,,neu.pdf
speisen,Soup Tu Xuyen,37,Suppen-Welt,"Traditionelle vietnamesische hausgemachte Gemüsesuppe mit Karotten, grünem Blattgemüse und Gemüsemix. Dazu ein Fleisch oder Tofu nach Wahl.",28.9,,,,,,,neu.pdf
speisen,Soup Mi Vit,38,Suppen-Welt,"Traditionelle vietnamesische Suppe mit Reisnudeln, Sojasprossen, frischem grünen vietnamesischen Kräutermix und Entenfleisch.",32.9,,,,,,,neu.pdf
speisen,Phở thố đá Vietdura,39,Suppen-Welt,"Traditionelle vietnamesische Suppe mit hausgemachter Rindfleischknochen-Suppe, zartem dünn geschnittenem Rindfleisch, Reisnudeln, Sojasprossen und frischen vietnamesischen Kräutern.",32.9,,,,,,,neu.pdf
speisen,Phở thố đá Spezial,40,Suppen-Welt,"Suppenhit: Rindfleischknochen-Suppe mit zartem sechs Stunden eingekochtem Short-Ripp, Reisnudeln, Sojasprossen und frischen vietnamesischen Kräutern.",35.9,,,,1,1,,neu.pdf
